意图,快照,source,样本n,该快照该意图总行数,子功能,子功能名,条数,占比%,95CI低%,95CI高%
NEWS_EVENT,2025搜索,2025search,40,40,LATEST_NEWS,浏览最新消息,27,67.5,52.0,79.9
NEWS_EVENT,2025搜索,2025search,40,40,FACT_DETAIL,事件内容与数据,4,10.0,4.0,23.1
NEWS_EVENT,2025搜索,2025search,40,40,RULE_CONCEPT,规则与一般机制,4,10.0,4.0,23.1
NEWS_EVENT,2025搜索,2025search,40,40,UNSURE,功能无法判定,2,5.0,1.4,16.5
NEWS_EVENT,2025搜索,2025search,40,40,STATUS_TIMING,事件进度与时点,1,2.5,0.4,12.9
NEWS_EVENT,2025搜索,2025search,40,40,FORECAST,预测与可能性,1,2.5,0.4,12.9
NEWS_EVENT,2025搜索,2025search,40,40,ASSESS_JUDGE,评估判断与建议,1,2.5,0.4,12.9
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,FACT_DETAIL,事件内容与数据,49,32.7,25.7,40.5
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,LATEST_NEWS,浏览最新消息,39,26.0,19.6,33.6
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,STATUS_TIMING,事件进度与时点,25,16.7,11.6,23.4
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,RULE_CONCEPT,规则与一般机制,11,7.3,4.1,12.7
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,FORECAST,预测与可能性,11,7.3,4.1,12.7
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,UNSURE,功能无法判定,8,5.3,2.7,10.2
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,ASSESS_JUDGE,评估判断与建议,3,2.0,0.7,5.7
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,EXPLAIN_CAUSE,原因解释,2,1.3,0.4,4.7
NEWS_EVENT,2025搜索随机1w,2025search_rand,150,273,SERVICE_HELP,个人业务求助,2,1.3,0.4,4.7
NEWS_EVENT,2026搜索,2026search,61,61,LATEST_NEWS,浏览最新消息,27,44.3,32.5,56.7
NEWS_EVENT,2026搜索,2026search,61,61,STATUS_TIMING,事件进度与时点,22,36.1,25.2,48.6
NEWS_EVENT,2026搜索,2026search,61,61,FORECAST,预测与可能性,4,6.6,2.6,15.7
NEWS_EVENT,2026搜索,2026search,61,61,ASSESS_JUDGE,评估判断与建议,3,4.9,1.7,13.5
NEWS_EVENT,2026搜索,2026search,61,61,RULE_CONCEPT,规则与一般机制,2,3.3,0.9,11.2
NEWS_EVENT,2026搜索,2026search,61,61,FACT_DETAIL,事件内容与数据,2,3.3,0.9,11.2
NEWS_EVENT,2026搜索,2026search,61,61,UNSURE,功能无法判定,1,1.6,0.3,8.7
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,FACT_DETAIL,事件内容与数据,59,39.3,31.9,47.3
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,LATEST_NEWS,浏览最新消息,28,18.7,13.2,25.7
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,STATUS_TIMING,事件进度与时点,26,17.3,12.1,24.2
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,FORECAST,预测与可能性,14,9.3,5.6,15.1
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,EXPLAIN_CAUSE,原因解释,6,4.0,1.8,8.5
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,RULE_CONCEPT,规则与一般机制,6,4.0,1.8,8.5
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,ASSESS_JUDGE,评估判断与建议,5,3.3,1.4,7.6
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,UNSURE,功能无法判定,3,2.0,0.7,5.7
NEWS_EVENT,2026搜索随机1w,2026search_rand,150,459,SERVICE_HELP,个人业务求助,3,2.0,0.7,5.7
NEWS_EVENT,助手头部1k,assistant_top,16,16,FORECAST,预测与可能性,7,43.8,23.1,66.8
NEWS_EVENT,助手头部1k,assistant_top,16,16,FACT_DETAIL,事件内容与数据,4,25.0,10.2,49.5
NEWS_EVENT,助手头部1k,assistant_top,16,16,STATUS_TIMING,事件进度与时点,3,18.8,6.6,43.0
NEWS_EVENT,助手头部1k,assistant_top,16,16,LATEST_NEWS,浏览最新消息,2,12.5,3.5,36.0
NEWS_EVENT,助手随机1k,assistant_random,79,79,FORECAST,预测与可能性,22,27.8,19.2,38.6
NEWS_EVENT,助手随机1k,assistant_random,79,79,FACT_DETAIL,事件内容与数据,20,25.3,17.0,35.9
NEWS_EVENT,助手随机1k,assistant_random,79,79,STATUS_TIMING,事件进度与时点,14,17.7,10.9,27.6
NEWS_EVENT,助手随机1k,assistant_random,79,79,ASSESS_JUDGE,评估判断与建议,7,8.9,4.4,17.2
NEWS_EVENT,助手随机1k,assistant_random,79,79,EXPLAIN_CAUSE,原因解释,7,8.9,4.4,17.2
NEWS_EVENT,助手随机1k,assistant_random,79,79,LATEST_NEWS,浏览最新消息,6,7.6,3.5,15.6
NEWS_EVENT,助手随机1k,assistant_random,79,79,RULE_CONCEPT,规则与一般机制,2,2.5,0.7,8.8
NEWS_EVENT,助手随机1k,assistant_random,79,79,UNSURE,功能无法判定,1,1.3,0.2,6.8
NEWS_EVENT,助手语音头部1k,assistant_voice_top,9,9,STATUS_TIMING,事件进度与时点,6,66.7,35.4,87.9
NEWS_EVENT,助手语音头部1k,assistant_voice_top,9,9,FORECAST,预测与可能性,2,22.2,6.3,54.7
NEWS_EVENT,助手语音头部1k,assistant_voice_top,9,9,FACT_DETAIL,事件内容与数据,1,11.1,2.0,43.5
NEWS_EVENT,助手语音1k,assistant_voice,37,37,FACT_DETAIL,事件内容与数据,16,43.2,28.7,59.1
NEWS_EVENT,助手语音1k,assistant_voice,37,37,FORECAST,预测与可能性,7,18.9,9.5,34.2
NEWS_EVENT,助手语音1k,assistant_voice,37,37,ASSESS_JUDGE,评估判断与建议,4,10.8,4.3,24.7
NEWS_EVENT,助手语音1k,assistant_voice,37,37,STATUS_TIMING,事件进度与时点,3,8.1,2.8,21.3
NEWS_EVENT,助手语音1k,assistant_voice,37,37,EXPLAIN_CAUSE,原因解释,2,5.4,1.5,17.7
NEWS_EVENT,助手语音1k,assistant_voice,37,37,RULE_CONCEPT,规则与一般机制,2,5.4,1.5,17.7
NEWS_EVENT,助手语音1k,assistant_voice,37,37,UNSURE,功能无法判定,1,2.7,0.5,13.8
NEWS_EVENT,助手语音1k,assistant_voice,37,37,SERVICE_HELP,个人业务求助,1,2.7,0.5,13.8
NEWS_EVENT,助手语音1k,assistant_voice,37,37,LATEST_NEWS,浏览最新消息,1,2.7,0.5,13.8
