sid,source,多数,answer,form,goal,deepseek
NEW0478,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0487,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0088,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0535,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0526,assistant_voice,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0140,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0034,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0458,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0531,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0051,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0198,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0042,2025search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0514,assistant_voice,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0413,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0540,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0092,2025search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0498,assistant_voice_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0235,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0361,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0523,assistant_voice,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0351,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0006,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0410,assistant_top,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0028,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0522,assistant_voice,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0082,2025search_rand,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0504,assistant_voice_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0008,2025search,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0508,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0538,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0271,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0300,2026search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0120,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0241,2026search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0015,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0518,assistant_voice,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE
NEW0066,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0131,2025search_rand,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0470,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0144,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0003,2025search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0200,2026search,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0069,2025search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0409,assistant_top,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0212,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0401,assistant_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0435,assistant_random,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0290,2026search_rand,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0165,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0402,assistant_top,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0415,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0230,2026search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0510,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0521,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0482,assistant_random,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0527,assistant_voice,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0408,assistant_top,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0237,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0128,2025search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0539,assistant_voice,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0009,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0197,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0249,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0001,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0265,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0160,2025search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0501,assistant_voice_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0309,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0019,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0404,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0537,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0158,2025search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0030,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0327,2026search_rand,FACT_DETAIL,FACT_DETAIL,STATUS_TIMING,FACT_DETAIL,STATUS_TIMING
NEW0011,2025search,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0475,assistant_random,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0278,2026search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0500,assistant_voice_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0419,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0029,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0496,assistant_voice_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0495,assistant_random,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE
NEW0012,2025search,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0059,2025search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0438,assistant_random,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0246,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0392,2026search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0360,2026search_rand,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0137,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0465,assistant_random,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE
NEW0016,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0167,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0405,assistant_top,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0156,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0436,assistant_random,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE
NEW0027,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0282,2026search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0491,assistant_random,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0505,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0022,2025search,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0497,assistant_voice_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0446,assistant_random,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0486,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0039,2025search,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0026,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0248,2026search,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0400,2026search_rand,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0396,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0035,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0036,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0453,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0115,2025search_rand,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0221,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0424,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0227,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0193,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0503,assistant_voice_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0343,2026search_rand,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0032,2025search,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0423,assistant_random,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0181,2025search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0416,assistant_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0033,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0014,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0228,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0210,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0377,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0452,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0528,assistant_voice,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0316,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0286,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0406,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0217,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0403,assistant_top,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0263,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0529,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0534,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0145,2025search_rand,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0125,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0317,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0461,assistant_random,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0194,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0488,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0411,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0444,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0513,assistant_voice,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0202,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0310,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0468,assistant_random,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0083,2025search_rand,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
NEW0449,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0533,assistant_voice,SERVICE_HELP,SERVICE_HELP,SERVICE_HELP,SERVICE_HELP,SERVICE_HELP
NEW0414,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0517,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0211,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0511,assistant_voice,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE,ASSESS_JUDGE
NEW0284,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0244,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0507,assistant_voice,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE,EXPLAIN_CAUSE
NEW0417,assistant_random,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT,RULE_CONCEPT
NEW0506,assistant_voice,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0292,2026search_rand,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL
NEW0048,2025search_rand,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0021,2025search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0222,2026search,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,FACT_DETAIL,ASSESS_JUDGE
NEW0225,2026search,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS,LATEST_NEWS
NEW0407,assistant_top,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0205,2026search,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING,STATUS_TIMING
NEW0412,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
NEW0318,2026search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
