L1,L1名,快照,n,咨询/求建议%,咨询/求建议_CI%,事件与进度%,事件与进度_CI%,问原因%,问原因_CI%,实体绑定%,实体绑定_CI%,时效%,时效_CI%,是非核实%,是非核实_CI%,问句%,问句_CI%,第一人称%,第一人称_CI%
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,0.2,"[0.1, 0.4]",0.54,"[0.4, 0.8]",0.0,"[0.0, 0.1]",73.89,"[72.7, 75.1]",14.07,"[13.1, 15.1]",0.06,"[0.0, 0.2]",2.13,"[1.8, 2.6]",0.04,"[0.0, 0.1]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,3.15,"[2.2, 4.4]",4.39,"[3.3, 5.8]",0.1,"[0.0, 0.5]",53.67,"[50.6, 56.7]",17.25,"[15.1, 19.7]",0.57,"[0.3, 1.2]",8.58,"[7.0, 10.4]",0.38,"[0.1, 1.0]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,6282,0.24,"[0.1, 0.4]",0.37,"[0.2, 0.5]",0.0,"[0.0, 0.1]",74.36,"[73.3, 75.4]",13.58,"[12.8, 14.4]",0.03,"[0.0, 0.1]",2.79,"[2.4, 3.2]",0.03,"[0.0, 0.1]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,1667,3.06,"[2.3, 4.0]",4.62,"[3.7, 5.7]",0.0,"[0.0, 0.2]",55.73,"[53.3, 58.1]",20.82,"[18.9, 22.8]",0.54,"[0.3, 1.0]",11.16,"[9.7, 12.8]",0.06,"[0.0, 0.3]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,456,3.29,"[2.0, 5.4]",2.19,"[1.2, 4.0]",0.0,"[0.0, 0.8]",48.46,"[43.9, 53.0]",20.61,"[17.2, 24.6]",0.0,"[0.0, 0.8]",6.58,"[4.6, 9.2]",0.22,"[0.0, 1.2]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,79,17.72,"[10.9, 27.6]",2.53,"[0.7, 8.8]",0.0,"[0.0, 4.6]",32.91,"[23.6, 43.9]",13.92,"[8.0, 23.2]",2.53,"[0.7, 8.8]",34.18,"[24.7, 45.2]",1.27,"[0.2, 6.8]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,0.14,"[0.0, 0.8]",0.0,"[0.0, 0.5]",0.0,"[0.0, 0.5]",68.43,"[64.9, 71.8]",13.86,"[11.5, 16.6]",0.0,"[0.0, 0.5]",6.0,"[4.5, 8.0]",0.0,"[0.0, 0.5]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,1.32,"[0.4, 4.7]",2.63,"[1.0, 6.6]",0.0,"[0.0, 2.5]",51.32,"[43.4, 59.1]",16.45,"[11.4, 23.2]",1.97,"[0.7, 5.6]",13.16,"[8.7, 19.5]",0.66,"[0.1, 3.6]"
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,0.0,"[0.0, 0.3]",0.0,"[0.0, 0.3]",0.0,"[0.0, 0.3]",83.13,"[81.1, 85.0]",0.72,"[0.4, 1.3]",0.0,"[0.0, 0.3]",0.43,"[0.2, 0.9]",0.07,"[0.0, 0.4]"
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,338,0.3,"[0.1, 1.7]",1.18,"[0.5, 3.0]",0.0,"[0.0, 1.1]",60.95,"[55.7, 66.0]",4.14,"[2.5, 6.8]",0.3,"[0.1, 1.7]",5.62,"[3.6, 8.6]",0.0,"[0.0, 1.1]"
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,1591,0.0,"[0.0, 0.2]",0.06,"[0.0, 0.4]",0.0,"[0.0, 0.2]",92.21,"[90.8, 93.4]",0.25,"[0.1, 0.6]",0.0,"[0.0, 0.2]",0.06,"[0.0, 0.4]",0.0,"[0.0, 0.2]"
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索随机1w,320,0.31,"[0.1, 1.7]",0.94,"[0.3, 2.7]",0.0,"[0.0, 1.2]",66.56,"[61.2, 71.5]",2.19,"[1.1, 4.4]",0.31,"[0.1, 1.7]",5.62,"[3.6, 8.7]",0.62,"[0.2, 2.2]"
