key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
27,查询市场行情,助手随机1k,987,835,42947,1.944,19.19,0.0,0.373,助手头部1k,6.526,真缺席
47,查询办理信用卡业务,助手头部1k,950,561,42984,1.305,12.4,0.0,0.388,2025搜索随机1w,2.37,真缺席
59,实时行情查询,助手语音1k,1000,528,42934,1.23,12.3,0.0,0.368,2026搜索,2.43,真缺席
0,股票代码查询,助手头部1k,950,1717,42984,3.995,37.95,0.0,0.388,2026搜索,7.261,真缺席
3,查询电话号码归属,助手语音头部1k,1000,308,42934,0.717,7.17,0.0007,0.368,2025搜索,1.18,真缺席
39,货币兑换查询,助手随机1k,987,257,42947,0.598,5.91,0.0027,0.373,2025搜索,0.99,真缺席
46,查询股份股票及股吧信息,助手语音1k,1000,615,42934,1.432,14.32,0.0,0.368,2026搜索,3.19,真缺席
24,证券股吧查询,助手头部1k,950,2079,42984,4.837,45.95,0.0,0.388,2026搜索,10.831,真缺席
20,查询交强险保费、赔偿与投保规定,助手头部1k,950,122,42984,0.284,2.7,0.0672,0.388,2025搜索随机1w,0.59,不可判定（样本量不足）
20,查询交强险保费、赔偿与投保规定,助手语音头部1k,1000,122,42934,0.284,2.84,0.0581,0.368,2025搜索随机1w,0.59,不可判定（样本量不足）
73,证券代码信息查询#73,助手随机1k,987,159,42947,0.37,3.65,0.0257,0.373,助手语音头部1k,0.8,偏少但证据弱
19,车险购买与理赔咨询,助手语音头部1k,1000,491,42934,1.144,11.44,0.0,0.368,2025搜索随机1w,2.31,真缺席
12,金融业务操作与问题处理方法查询,助手语音头部1k,1000,805,42934,1.875,18.75,0.0,0.368,2025搜索随机1w,3.85,真缺席
2,证券代码信息查询#2,助手语音1k,1000,116,42934,0.27,2.7,0.0668,0.368,助手语音头部1k,0.6,不可判定（样本量不足）
