key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,助手语音头部1k,1000,285,42934,0.664,6.64,0.0013,0.368,2025搜索,1.17,真缺席
RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,助手随机1k,987,176,42947,0.41,4.04,0.0174,0.373,助手语音头部1k,1.1,偏少但证据弱
CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,助手头部1k,950,191,42984,0.444,4.22,0.0145,0.388,助手语音1k,1.2,偏少但证据弱
HOWTO_OPERATE__1,HOWTO_OPERATE__1,助手语音头部1k,1000,365,42934,0.85,8.5,0.0002,0.368,助手随机1k,1.824,真缺席
HOWTO_OPERATE__4,HOWTO_OPERATE__4,助手语音头部1k,1000,390,42934,0.908,9.08,0.0001,0.368,2025搜索随机1w,1.97,真缺席
ENTITY_VERIFY__2,ENTITY_VERIFY__2,助手语音头部1k,1000,235,42934,0.547,5.47,0.0041,0.368,2025搜索随机1w,1.08,真缺席
TXN_ISSUE__2,TXN_ISSUE__2,助手语音头部1k,1000,89,42934,0.207,2.07,0.1255,0.368,助手头部1k,0.632,不可判定（样本量不足）
TXN_ISSUE__2,TXN_ISSUE__2,助手语音1k,1000,89,42934,0.207,2.07,0.1255,0.368,助手头部1k,0.632,不可判定（样本量不足）
ENTITY_VERIFY__1,ENTITY_VERIFY__1,助手语音头部1k,1000,165,42934,0.384,3.84,0.0213,0.368,2025搜索,0.58,偏少但证据弱
DEBT_DISTRESS__1,DEBT_DISTRESS__1,助手语音头部1k,1000,134,42934,0.312,3.12,0.0439,0.368,2025搜索随机1w,0.71,偏少但证据弱
TXN_ISSUE__5,TXN_ISSUE__5,助手头部1k,950,251,42984,0.584,5.55,0.0038,0.388,2025搜索随机1w,1.22,真缺席
TXN_ISSUE__5,TXN_ISSUE__5,助手语音头部1k,1000,251,42934,0.585,5.85,0.0028,0.368,2025搜索随机1w,1.22,真缺席
STATUS_DECODE__1,STATUS_DECODE__1,2026搜索,9999,52,33935,0.153,15.32,0.0,0.037,助手头部1k,0.316,真缺席
STATUS_DECODE__1,STATUS_DECODE__1,助手语音头部1k,1000,52,42934,0.121,1.21,0.2976,0.368,助手头部1k,0.316,不可判定（样本量不足）
STATUS_DECODE__1,STATUS_DECODE__1,助手语音1k,1000,52,42934,0.121,1.21,0.2976,0.368,助手头部1k,0.316,不可判定（样本量不足）
CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,助手头部1k,950,253,42984,0.589,5.59,0.0037,0.388,2025搜索随机1w,1.12,真缺席
CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,助手语音头部1k,1000,253,42934,0.589,5.89,0.0027,0.368,2025搜索随机1w,1.12,真缺席
HOWTO_OPERATE__3,HOWTO_OPERATE__3,助手语音头部1k,1000,211,42934,0.491,4.91,0.0073,0.368,2025搜索随机1w,1.05,偏少但证据弱
NEWS_EVENT__4,NEWS_EVENT__4,助手语音头部1k,1000,79,42934,0.184,1.84,0.1585,0.368,助手随机1k,1.418,不可判定（样本量不足）
NEWS_EVENT__2,NEWS_EVENT__2,助手语音头部1k,1000,174,42934,0.405,4.05,0.0172,0.368,2026搜索随机1w,0.75,偏少但证据弱
HOWTO_OPERATE__5,HOWTO_OPERATE__5,助手语音头部1k,1000,358,42934,0.834,8.34,0.0002,0.368,助手随机1k,2.229,真缺席
TXN_ISSUE__3,TXN_ISSUE__3,助手语音头部1k,1000,380,42934,0.885,8.85,0.0001,0.368,助手头部1k,3.158,真缺席
TXN_ISSUE__1,TXN_ISSUE__1,助手语音头部1k,1000,223,42934,0.519,5.19,0.0055,0.368,助手语音1k,1.1,真缺席
TXN_ISSUE__4,TXN_ISSUE__4,助手语音头部1k,1000,152,42934,0.354,3.54,0.0288,0.368,2025搜索随机1w,0.78,偏少但证据弱
SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,2026搜索,9999,27,33935,0.08,7.96,0.0003,0.037,助手随机1k,0.203,真缺席
SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,助手语音头部1k,1000,27,42934,0.063,0.63,0.5331,0.368,助手随机1k,0.203,不可判定（样本量不足）
NEWS_EVENT__3,NEWS_EVENT__3,助手头部1k,950,103,42984,0.24,2.28,0.1024,0.388,助手随机1k,0.608,不可判定（样本量不足）
NEWS_EVENT__3,NEWS_EVENT__3,助手语音头部1k,1000,103,42934,0.24,2.4,0.0905,0.368,助手随机1k,0.608,不可判定（样本量不足）
