key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
STATUS_DECODE,解读粘贴的提示与界面状态,52,2,0.3512,0.0,0.0,24,0.4832,4.17,8.33,0,,,,22,0.4138,13.64,13.64,3,0.4619,0.0,0.0,1,0.4013,0.0,0.0,0,,,,0,,,,2026搜索随机1w,0.0694,0.446
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,276,22,0.4269,9.09,4.55,78,0.4439,5.13,19.23,40,0.4748,0.0,17.5,118,0.4644,7.63,15.25,4,0.504,25.0,0.0,5,0.4479,20.0,40.0,1,0.4283,0.0,0.0,8,0.5078,0.0,25.0,2025搜索,0.0479,0.4585
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,27,8,0.5849,0.0,0.0,11,0.4034,0.0,27.27,0,,,,4,0.4162,0.0,50.0,1,0.4133,0.0,100.0,2,0.5352,0.0,50.0,0,,,,1,0.5998,0.0,0.0,,,0.4765
DEBT_DISTRESS,处理逾期催收与还款困境,134,15,0.5368,13.33,13.33,71,0.4641,14.08,11.27,2,0.6937,0.0,0.0,41,0.5081,7.32,9.76,3,0.4914,66.67,66.67,1,0.356,0.0,0.0,0,,,,1,0.3655,0.0,0.0,2025搜索随机1w,0.044,0.4882
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,205,7,0.3681,14.29,0.0,56,0.5189,10.71,17.86,5,0.5127,0.0,0.0,99,0.5371,3.03,22.22,1,0.3753,0.0,0.0,27,0.5677,7.41,11.11,1,0.9547,0.0,0.0,9,0.573,0.0,11.11,2025搜索随机1w,0.0488,0.5326
OTHER_INTENT,其他非金融意图或无明确意图,1697,204,0.7376,1.47,5.39,616,0.4676,7.31,12.01,97,0.7257,1.03,5.15,529,0.4862,4.91,13.99,59,0.7652,1.69,5.08,100,0.5208,3.0,20.0,16,0.6743,0.0,0.0,76,0.4832,6.58,18.42,2025搜索随机1w,0.2976,0.5367
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,999,57,0.6085,1.75,19.3,186,0.5081,5.91,23.12,54,0.6045,0.0,7.41,421,0.5338,4.99,18.53,62,0.7108,0.0,20.97,160,0.5803,7.5,19.38,7,0.5759,0.0,0.0,52,0.5244,0.0,17.31,2025搜索随机1w,0.2027,0.5553
COMPARISON_DECISION,比较两个金融对象并给出取舍,288,25,0.5937,0.0,4.0,100,0.5472,4.0,14.0,6,0.5305,0.0,0.0,111,0.558,6.31,12.61,12,0.6935,0.0,16.67,21,0.6511,4.76,19.05,1,0.2518,100.0,0.0,12,0.5531,16.67,8.33,2025搜索随机1w,0.1039,0.5679
TXN_ISSUE,排查账户与交易异常,1095,36,0.6098,2.78,13.89,518,0.5837,3.47,9.65,17,0.5959,0.0,17.65,417,0.5806,3.84,11.75,44,0.6115,6.82,9.09,22,0.5343,4.55,9.09,0,,,,41,0.558,2.44,17.07,助手随机1k,0.0772,0.5827
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,400,93,0.719,1.08,5.38,153,0.5391,6.54,10.46,33,0.6643,0.0,3.03,100,0.5453,4.0,12.0,7,0.6167,0.0,0.0,9,0.5188,0.0,11.11,0,,,,5,0.3404,20.0,0.0,2025搜索随机1w,0.1799,0.5912
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,974,40,0.7411,2.5,15.0,273,0.6276,2.93,20.15,61,0.7311,0.0,21.31,459,0.593,4.14,16.99,16,0.6148,0.0,6.25,79,0.5848,3.8,22.78,9,0.6027,22.22,0.0,37,0.4629,2.7,8.11,助手语音1k,0.2782,0.6122
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2270,80,0.6322,0.0,11.25,1088,0.6314,1.93,11.49,27,0.5794,3.7,14.81,900,0.6166,2.22,12.56,8,0.5166,0.0,25.0,76,0.582,2.63,14.47,6,0.4022,0.0,33.33,85,0.5643,2.35,10.59,助手语音1k,0.0679,0.6198
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2789,266,0.7299,3.38,6.77,1037,0.6235,2.99,10.99,154,0.7489,3.25,11.04,1071,0.6493,3.08,12.98,20,0.563,5.0,25.0,139,0.5781,3.6,13.67,8,0.4813,0.0,0.0,94,0.5852,4.26,12.77,助手头部1k,0.1859,0.6461
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2235,725,0.7112,1.1,9.24,472,0.5822,4.24,10.17,414,0.7118,3.14,10.14,411,0.5694,5.11,9.73,73,0.7349,1.37,2.74,17,0.5318,0.0,17.65,93,0.757,0.0,6.45,30,0.6443,3.33,10.0,2026搜索随机1w,0.1876,0.6584
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2708,225,0.7536,0.89,6.22,1231,0.6901,1.95,8.94,84,0.7414,0.0,8.33,954,0.6863,2.94,9.75,20,0.6497,0.0,15.0,83,0.618,1.2,18.07,7,0.6575,14.29,28.57,104,0.6982,0.96,13.46,助手随机1k,0.1356,0.6934
RATE_CALC,查询利率、费率、限额并试算利息/还款,2362,233,0.8295,2.15,9.01,1012,0.7767,1.28,12.06,84,0.7957,3.57,10.71,822,0.7431,1.22,14.96,29,0.5388,6.9,6.9,98,0.7479,1.02,11.22,10,0.6876,10.0,20.0,74,0.717,2.7,9.46,助手头部1k,0.2907,0.7645
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,3090,576,0.8977,0.0,4.86,1103,0.783,1.18,8.43,331,0.9067,0.0,5.14,907,0.791,1.21,9.59,18,0.8071,5.56,22.22,34,0.6738,0.0,14.71,46,0.8965,0.0,6.52,75,0.771,0.0,2.67,助手随机1k,0.2329,0.8203
PAGE_NAV,打开目标页面或获取官方应用入口,3709,1381,0.8885,0.14,7.39,338,0.6922,2.96,10.65,1591,0.9086,0.06,8.55,320,0.7229,2.19,10.31,30,0.7379,10.0,13.33,12,0.661,0.0,8.33,21,0.798,0.0,4.76,16,0.7974,6.25,0.0,2025搜索随机1w,0.2164,0.8621
QUOTE_LOOKUP,查询可报价品种实时行情与价格,15403,5018,0.9247,0.28,4.84,1049,0.7522,2.29,12.49,6282,0.9243,0.32,4.52,1667,0.7651,1.92,13.26,456,0.9064,0.22,5.26,79,0.6841,1.27,11.39,700,0.9244,0.43,6.14,152,0.7902,0.66,13.82,助手随机1k,0.2406,0.8924
FX_CONVERT,查询汇率并换算外币金额,3221,985,0.9609,0.2,7.72,584,0.8764,0.34,9.93,717,0.9674,0.0,9.76,627,0.8775,0.48,10.21,84,0.9455,0.0,13.1,22,0.8062,0.0,22.73,74,0.9469,0.0,13.51,128,0.9134,0.0,5.47,助手随机1k,0.1612,0.9271
