key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
3,证券股吧查询,2060,39997,5.15,19,3937,0.483,-4.668,-4.949,-4.324,True,两界面都有,,,,0.91
0,代码与号码信息查询,3183,39997,7.958,178,3937,4.521,-3.437,-4.1,-2.695,True,两界面都有,,,,5.3
4,查询个股股票信息,5035,39997,12.588,444,3937,11.278,-1.311,-2.317,-0.236,True,两界面都有,,,,8.1
40,查询财经门户与市场行情,1379,39997,3.448,85,3937,2.159,-1.289,-1.737,-0.757,True,两界面都有,,,,5.81
9,查询股份股票及股吧信息,586,39997,1.465,29,3937,0.737,-0.729,-0.983,-0.39,True,两界面都有,,,,4.72
14,存贷款利率与利息查询计算,1307,39997,3.268,104,3937,2.642,-0.626,-1.117,-0.051,True,两界面都有,,,,7.37
1,查询金融术语含义,768,39997,1.92,52,3937,1.321,-0.599,-0.941,-0.172,True,两界面都有,,,,6.34
66,基金净值查询,547,39997,1.368,31,3937,0.787,-0.58,-0.841,-0.234,True,两界面都有,,,,5.36
58,查询办理信用卡业务,530,39997,1.325,31,3937,0.787,-0.538,-0.798,-0.192,True,两界面都有,,,,5.53
33,银行卡业务查询与办理指导,989,39997,2.473,80,3937,2.032,-0.441,-0.867,0.071,False,两界面都有,,,,7.48
56,查询贷款信息,785,39997,1.963,60,3937,1.524,-0.439,-0.805,0.014,False,两界面都有,,,,7.1
59,贷款提前还款查询,301,39997,0.753,13,3937,0.33,-0.422,-0.586,-0.175,True,两界面都有,,,,4.14
43,实时行情查询,495,39997,1.238,33,3937,0.838,-0.399,-0.665,-0.047,True,两界面都有,,,,6.25
55,个人征信报告查询与影响咨询,361,39997,0.903,20,3937,0.508,-0.395,-0.598,-0.105,True,两界面都有,,,,5.25
71,支付宝账户操作查询,721,39997,1.803,57,3937,1.448,-0.355,-0.71,0.087,False,两界面都有,,,,7.33
11,银行服务信息查询,2731,39997,6.828,258,3937,6.553,-0.275,-1.048,0.577,False,两界面都有,,,,8.63
39,查询借款平台正规性,322,39997,0.805,23,3937,0.584,-0.221,-0.436,0.082,False,两界面都有,,,,6.67
60,花呗操作查询,279,39997,0.698,20,3937,0.508,-0.19,-0.388,0.096,False,两界面都有,,,,6.69
36,下载安装金融类App,502,39997,1.255,42,3937,1.067,-0.188,-0.487,0.198,False,两界面都有,,,,7.72
48,金融业务操作与问题处理方法查询,739,39997,1.848,66,3937,1.676,-0.171,-0.553,0.297,False,两界面都有,,,,8.2
2,保险信息查询,854,39997,2.135,79,3937,2.007,-0.129,-0.548,0.377,False,两界面都有,,,,8.47
