key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
24,证券股吧查询,2060,39997,5.15,19,3937,0.483,-4.668,-4.949,-4.324,True,两界面都有,,,,0.91
0,股票代码查询,1634,39997,4.085,83,3937,2.108,-1.977,-2.427,-1.445,True,两界面都有,,,,4.83
25,查询股票信息,4625,39997,11.563,398,3937,10.109,-1.454,-2.411,-0.426,True,两界面都有,,,,7.92
31,查询财经门户与市场行情,1379,39997,3.448,85,3937,2.159,-1.289,-1.737,-0.757,True,两界面都有,,,,5.81
1,查询300开头股票代码与行情,589,39997,1.473,27,3937,0.686,-0.787,-1.034,-0.457,True,两界面都有,,,,4.38
46,查询股份股票及股吧信息,586,39997,1.465,29,3937,0.737,-0.729,-0.983,-0.39,True,两界面都有,,,,4.72
11,查询金融术语含义,768,39997,1.92,52,3937,1.321,-0.599,-0.941,-0.172,True,两界面都有,,,,6.34
7,基金净值查询,547,39997,1.368,31,3937,0.787,-0.58,-0.841,-0.234,True,两界面都有,,,,5.36
68,利率查询与计算,331,39997,0.828,10,3937,0.254,-0.574,-0.723,-0.345,True,两界面都有,,,,2.93
47,查询办理信用卡业务,530,39997,1.325,31,3937,0.787,-0.538,-0.798,-0.192,True,两界面都有,,,,5.53
48,银行卡业务查询与办理指导,989,39997,2.473,80,3937,2.032,-0.441,-0.867,0.071,False,两界面都有,,,,7.48
8,查询贷款信息,785,39997,1.963,60,3937,1.524,-0.439,-0.805,0.014,False,两界面都有,,,,7.1
9,贷款提前还款查询,301,39997,0.753,13,3937,0.33,-0.422,-0.586,-0.175,True,两界面都有,,,,4.14
59,实时行情查询,495,39997,1.238,33,3937,0.838,-0.399,-0.665,-0.047,True,两界面都有,,,,6.25
14,个人征信报告查询与影响咨询,361,39997,0.903,20,3937,0.508,-0.395,-0.598,-0.105,True,两界面都有,,,,5.25
3,查询电话号码归属,294,39997,0.735,14,3937,0.356,-0.379,-0.548,-0.126,True,两界面都有,,,,4.55
44,支付宝相关操作查询,721,39997,1.803,57,3937,1.448,-0.355,-0.71,0.087,False,两界面都有,,,,7.33
55,银行客服电话查询,593,39997,1.483,48,3937,1.219,-0.263,-0.586,0.146,False,两界面都有,,,,7.49
15,查询借款平台正规性,322,39997,0.805,23,3937,0.584,-0.221,-0.436,0.082,False,两界面都有,,,,6.67
65,计算存贷款利息,663,39997,1.658,57,3937,1.448,-0.21,-0.563,0.23,False,两界面都有,,,,7.92
13,花呗操作查询,279,39997,0.698,20,3937,0.508,-0.19,-0.388,0.096,False,两界面都有,,,,6.69
52,下载安装金融类App,502,39997,1.255,42,3937,1.067,-0.188,-0.487,0.198,False,两界面都有,,,,7.72
12,金融业务操作与问题处理方法查询,739,39997,1.848,66,3937,1.676,-0.171,-0.553,0.297,False,两界面都有,,,,8.2
49,银行信息查询,1773,39997,4.433,168,3937,4.267,-0.166,-0.789,0.54,False,两界面都有,,,,8.66
