key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,代码与号码信息查询,2025搜索,2025搜索随机1w,1171,341,9998,10000,11.712,3.41,-8.302,-9.031,-7.582,True,共有
1,查询金融术语含义,2025搜索,2025搜索随机1w,129,261,9998,10000,1.29,2.61,1.32,0.939,1.708,True,共有
11,银行服务信息查询,2025搜索,2025搜索随机1w,503,1053,9998,10000,5.031,10.53,5.499,4.762,6.24,True,共有
13,查询黄金价格,2025搜索,2025搜索随机1w,239,60,9998,10000,2.39,0.6,-1.79,-2.136,-1.461,True,共有
14,存贷款利率与利息查询计算,2025搜索,2025搜索随机1w,193,560,9998,10000,1.93,5.6,3.67,3.148,4.201,True,共有
2,保险信息查询,2025搜索,2025搜索随机1w,163,322,9998,10000,1.63,3.22,1.59,1.166,2.021,True,共有
3,证券股吧查询,2025搜索,2025搜索随机1w,820,67,9998,10000,8.202,0.67,-7.532,-8.104,-6.98,True,共有
33,银行卡业务查询与办理指导,2025搜索,2025搜索随机1w,92,502,9998,10000,0.92,5.02,4.1,3.64,4.576,True,共有
36,下载安装金融类App,2025搜索,2025搜索随机1w,181,139,9998,10000,1.81,1.39,-0.42,-0.772,-0.072,True,共有
37,农业银行及农村信用社服务信息查询,2025搜索,2025搜索随机1w,51,276,9998,10000,0.51,2.76,2.25,1.907,2.611,True,共有
39,查询借款平台正规性,2025搜索,2025搜索随机1w,98,95,9998,10000,0.98,0.95,-0.03,-0.304,0.243,False,共有
4,查询个股股票信息,2025搜索,2025搜索随机1w,1910,274,9998,10000,19.104,2.74,-16.364,-17.203,-15.533,True,共有
40,查询财经门户与市场行情,2025搜索,2025搜索随机1w,429,262,9998,10000,4.291,2.62,-1.671,-2.18,-1.166,True,共有
41,查询美元兑日元汇率,2025搜索,2025搜索随机1w,60,43,9998,10000,0.6,0.43,-0.17,-0.374,0.03,False,共有
42,人民币及货币信息查询,2025搜索,2025搜索随机1w,112,115,9998,10000,1.12,1.15,0.03,-0.266,0.326,False,共有
43,实时行情查询,2025搜索,2025搜索随机1w,167,31,9998,10000,1.67,0.31,-1.36,-1.646,-1.093,True,共有
