surface,theme,far_n,k,share_of_far,share_of_cell
assistant_top1k,银行卡/账户异常与扣费解读,176,50,0.2840909090909091,0.05263157894736842
assistant_top1k,个股/大盘/金价走势预测与买卖时机,176,31,0.17613636363636365,0.03263157894736842
assistant_top1k,公司事件、财报与政策影响解读,176,12,0.06818181818181818,0.01263157894736842
assistant_top1k,借贷、征信、存款与利息计算,176,14,0.07954545454545454,0.014736842105263158
assistant_top1k,保险条款、理赔与机构可信度,176,4,0.022727272727272728,0.004210526315789474
assistant_top1k,依赖上文的追问与碎片,176,12,0.06818181818181818,0.01263157894736842
assistant_top1k,其他,176,53,0.30113636363636365,0.05578947368421053
assistant_random1k,银行卡/账户异常与扣费解读,648,23,0.035493827160493825,0.02330293819655522
assistant_random1k,个股/大盘/金价走势预测与买卖时机,648,68,0.10493827160493827,0.06889564336372847
assistant_random1k,公司事件、财报与政策影响解读,648,76,0.11728395061728394,0.07700101317122594
assistant_random1k,借贷、征信、存款与利息计算,648,86,0.13271604938271606,0.08713272543059777
assistant_random1k,保险条款、理赔与机构可信度,648,30,0.046296296296296294,0.030395136778115502
assistant_random1k,依赖上文的追问与碎片,648,30,0.046296296296296294,0.030395136778115502
assistant_random1k,其他,648,335,0.5169753086419753,0.3394123606889564
