view,frm,to,code,name,p_from,p_to,diff,lo,hi,sig
all,search_top1000,assistant_top1k,U01,导航直达,0.06,0.05473684210526316,-0.005263157894736838,-0.026094685332298303,0.015681968869397187,False
all,search_top1000,assistant_top1k,U02,裸实体,0.514,0.28210526315789475,-0.23189473684210526,-0.2733641831359171,-0.18915551350467041,True
all,search_top1000,assistant_top1k,U03,事实与数值,0.401,0.33157894736842103,-0.069421052631579,-0.11179427543078889,-0.026635248063852403,True
all,search_top1000,assistant_top1k,U04,解释与介绍,0.002,0.035789473684210524,0.03378947368421052,0.022429893885974914,0.047671613012857356,True
all,search_top1000,assistant_top1k,U05,核实与动态,0.001,0.05263157894736842,0.05163157894736842,0.03831288079629436,0.06773950629155277,True
all,search_top1000,assistant_top1k,U06,办事与操作,0.002,0.03684210526315789,0.03484210526315789,0.023334135507812853,0.04888205733905576,True
all,search_top1000,assistant_top1k,U07,个案判断与建议,0.001,0.08105263157894736,0.08005263157894736,0.0636665210224464,0.09915964840458395,True
all,search_top1000,assistant_top1k,U08,清单与推荐,0.006,0.03894736842105263,0.032947368421052635,0.020261612495133682,0.04758668095471251,True
all,search_top1000,assistant_top1k,U09,获取现成内容,0.01,0.03894736842105263,0.02894736842105263,0.01550931356739637,0.04393240525807164,True
all,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.0010526315789473684,0.0010526315789473684,-0.002871204502879681,0.005938452589884022,False
all,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
all,search_top1000,assistant_top1k,U12,违规或灰色内容,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
all,search_top1000,assistant_top1k,U13,无法判定,0.003,0.04631578947368421,0.04331578947368421,0.030322617807975943,0.058732972861380316,True
all,assistant_top1k,assistant_random1k,U01,导航直达,0.05473684210526316,0.008105369807497468,-0.046631472297765694,-0.063452051445643,-0.03167842776577505,True
all,assistant_top1k,assistant_random1k,U02,裸实体,0.28210526315789475,0.02330293819655522,-0.25880232496133954,-0.28924954704014727,-0.22884383768940977,True
all,assistant_top1k,assistant_random1k,U03,事实与数值,0.33157894736842103,0.23404255319148937,-0.09753639417693166,-0.13724593388971426,-0.05747913180565196,True
all,assistant_top1k,assistant_random1k,U04,解释与介绍,0.035789473684210524,0.0911854103343465,0.05539593665013598,0.03395097689949627,0.07741202774896344,True
all,assistant_top1k,assistant_random1k,U05,核实与动态,0.05263157894736842,0.10840932117527863,0.05577774222791021,0.03171149985441913,0.08015301070998382,True
