view,group,surface,n,k,share,lo,hi,pv_share
all,查值与裸实体 U02+U03,search_top1000,1000,915,0.915,0.8960867310553456,0.9307369431179503,0.939200084222312
all,查值与裸实体 U02+U03,assistant_top1k,950,583,0.6136842105263158,0.58232272971863,0.6441299643135867,0.6478934690165425
all,查值与裸实体 U02+U03,assistant_random1k,987,254,0.2573454913880446,0.2310489378038134,0.28552364049729956,
all,解释/核实/办事/判断/清单 U04–U08,search_top1000,1000,12,0.012,0.006877579092159561,0.020857473928157594,0.0037880698044912213
all,解释/核实/办事/判断/清单 U04–U08,assistant_top1k,950,233,0.24526315789473685,0.218965491120658,0.2736127315108565,0.2097190472679006
all,解释/核实/办事/判断/清单 U04–U08,assistant_random1k,987,626,0.6342451874366768,0.6037301118618527,0.6637192968024584,
all,导航+获取内容 U01+U09,search_top1000,1000,70,0.07,0.055776130777577704,0.08751500200671816,0.055346742125952975
all,导航+获取内容 U01+U09,assistant_top1k,950,89,0.09368421052631579,0.07675608385038662,0.11388521340483898,0.10685052724725315
all,导航+获取内容 U01+U09,assistant_random1k,987,20,0.020263424518743668,0.013155077051273886,0.031091753118149764,
all,无法判定 U13,search_top1000,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.0016651038472437157
all,无法判定 U13,assistant_top1k,950,44,0.04631578947368421,0.034680608598917806,0.06160539947621753,0.03460290539045793
all,无法判定 U13,assistant_random1k,987,74,0.07497467071935157,0.06014205530535263,0.0931030244329224,
interp,查值与裸实体 U02+U03,search_top1000,997,915,0.917753259779338,0.8990529902311933,0.9332465464787115,0.9407665582377921
interp,查值与裸实体 U02+U03,assistant_top1k,906,583,0.6434878587196468,0.6117531845966443,0.6740108429000099,0.6711160336344135
interp,查值与裸实体 U02+U03,assistant_random1k,913,254,0.2782037239868565,0.25011151638342116,0.30815460068631034,
interp,解释/核实/办事/判断/清单 U04–U08,search_top1000,997,12,0.012036108324974924,0.006898312993608824,0.020919875219191284,0.0037943878543053597
interp,解释/核实/办事/判断/清单 U04–U08,assistant_top1k,906,233,0.2571743929359823,0.22978037537856996,0.28661896270401505,0.2172360456012374
interp,解释/核实/办事/判断/清单 U04–U08,assistant_random1k,913,626,0.6856516976998904,0.6548122372219602,0.7149353833048568,
interp,导航+获取内容 U01+U09,search_top1000,997,70,0.07021063189568706,0.05594509484746942,0.0877755498579465,0.055439053907902575
interp,导航+获取内容 U01+U09,assistant_top1k,906,89,0.09823399558498896,0.08051634971865734,0.11934437329071049,0.11068039032214945
interp,导航+获取内容 U01+U09,assistant_random1k,913,20,0.02190580503833516,0.014224595195569524,0.033593479376962956,
