surface,marker,n,k,share,lo,hi,pv_share
搜索top1000,长度中位,1000,,6.0,,,
搜索top10k,长度中位,9999,,6.0,,,
助手top1k,长度中位,950,,7.0,,,
助手random1k,长度中位,987,,14.0,,,
搜索top1000,疑问句(通用),1000,46.0,0.046,0.03466231280457309,0.06081251111186951,0.019929712501556028
搜索top10k,疑问句(通用),9999,747.0,0.0747074707470747,0.06971574119187245,0.08002586823239356,0.03590013351884704
助手top1k,疑问句(通用),950,198.0,0.20842105263157895,0.18379144538641537,0.23539933010502892,0.1596059779268982
助手random1k,疑问句(通用),987,645.0,0.6534954407294833,0.6232644786617579,0.6825361659619639,
搜索top1000,第一人称,1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,第一人称,9999,6.0,0.0006000600060006001,0.0002750372286736318,0.001308672744300448,0.00025117952049031125
助手top1k,第一人称,950,7.0,0.007368421052631579,0.0035737225779831714,0.015131269949077925,0.002328982621733894
助手random1k,第一人称,987,60.0,0.060790273556231005,0.04751774001899557,0.07746853427550315,
搜索top1000,纯数字代码,1000,23.0,0.023,0.015374164302931469,0.0342766969484851,0.007642041910271461
搜索top10k,纯数字代码,9999,1030.0,0.10301030103010302,0.09720380309242659,0.10912172744481595,0.03732782800195547
助手top1k,纯数字代码,950,3.0,0.003157894736842105,0.001074518361442939,0.009243337349610133,0.0014809625642160115
助手random1k,纯数字代码,987,0.0,0.0,0.0,0.0038771081068861056,
搜索top1000,以股票/股份/股价结尾,1000,514.0,0.514,0.48302753849609636,0.5448653083434848,0.35209568627299276
搜索top10k,以股票/股份/股价结尾,9999,3344.0,0.33443344334433445,0.3252510005293633,0.34374305811893113,0.34997493252246187
助手top1k,以股票/股份/股价结尾,950,195.0,0.20526315789473684,0.18079058444277157,0.23210983843666672,0.12559299953297445
助手random1k,以股票/股份/股价结尾,987,20.0,0.020263424518743668,0.013155077051273886,0.031091753118149764,
搜索top1000,股吧,1000,24.0,0.024,0.016180052367186296,0.03546315508705749,0.008111233137058688
搜索top10k,股吧,9999,1407.0,0.1407140714071407,0.1340361900973682,0.14766792086246142,0.050289774166943434
助手top1k,股吧,950,0.0,0.0,0.0,0.0040275030990470535,0.0
助手random1k,股吧,987,1.0,0.0010131712259371835,0.0001788673925609877,0.005716726817451995,
搜索top1000,时效词(今日/实时/最新/现在),1000,105.0,0.105,0.08748748752043772,0.1255357623628108,0.19387227415578392
搜索top10k,时效词(今日/实时/最新/现在),9999,993.0,0.09930993099309932,0.09360070637899776,0.10532692634488744,0.16288941429285808
助手top1k,时效词(今日/实时/最新/现在),950,128.0,0.13473684210526315,0.11448924309098965,0.15792663812031418,0.18956320821964948
助手random1k,时效词(今日/实时/最新/现在),987,75.0,0.07598784194528875,0.06105081165985273,0.09421275418154915,
搜索top1000,行情名词(金价/汇率/指数/行情/走势图),1000,248.0,0.248,0.2222317896325405,0.27569696725500037,0.4731775561354283
搜索top10k,行情名词(金价/汇率/指数/行情/走势图),9999,1844.0,0.1844184418441844,0.17693838343475013,0.1921408989963542,0.3799791843117144
助手top1k,行情名词(金价/汇率/指数/行情/走势图),950,256.0,0.2694736842105263,0.24222932936737163,0.29857492995618906,0.36153307278224317
