surface,marker,n,k,share,lo,hi,pv_share
搜索top1000,交易术语(开盘/涨停/主力资金/仓位/短线…),1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,交易术语(开盘/涨停/主力资金/仓位/短线…),9999,29,0.0029002900290029,0.002020185442252399,0.004162217766051928,0.0011471479744716443
助手top1k,交易术语(开盘/涨停/主力资金/仓位/短线…),950,8,0.008421052631578947,0.004273086293304304,0.016528690437758797,0.0028820391809846863
助手random1k,交易术语(开盘/涨停/主力资金/仓位/短线…),987,60,0.060790273556231005,0.04751774001899557,0.07746853427550315,
搜索top1000,新股申购/上市首日/中签,1000,4,0.004,0.0015565629678934295,0.010239720429805971,0.0049006719686012145
搜索top10k,新股申购/上市首日/中签,9999,59,0.005900590059005901,0.004577483263747008,0.007603215468901122,0.00528064332792583
助手top1k,新股申购/上市首日/中签,950,22,0.023157894736842106,0.015342010603873062,0.03481474498321813,0.010090209669886685
助手random1k,新股申购/上市首日/中签,987,9,0.00911854103343465,0.004804558194385939,0.01723892484064206,
搜索top1000,公司事件/财报/重组/政策影响,1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,公司事件/财报/重组/政策影响,9999,17,0.0017001700170017002,0.0010618045473327461,0.002721280451234061,0.0005401690382192078
助手top1k,公司事件/财报/重组/政策影响,950,21,0.022105263157894735,0.01450288944553997,0.03355708193754921,0.010735442322345943
助手random1k,公司事件/财报/重组/政策影响,987,97,0.09827760891590678,0.08123373810123467,0.1184365220089585,
搜索top1000,养老/退休/老人,1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,养老/退休/老人,9999,0,0.0,0.0,0.00038405086810531917,0.0
助手top1k,养老/退休/老人,950,0,0.0,0.0,0.0040275030990470535,0.0
助手random1k,养老/退休/老人,987,3,0.00303951367781155,0.0010342169923891007,0.008898349423877636,
搜索top1000,长句无标点(>20字),1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,长句无标点(>20字),9999,9,0.0009000900090009,0.00047361902552053143,0.0017099204998879283,0.00032891026724050985
助手top1k,长句无标点(>20字),950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,0.0003502691541921687
助手random1k,长句无标点(>20字),987,30,0.030395136778115502,0.02137249326325301,0.04305919793743941,
搜索top1000,回指/依赖上文(这/那/他/你说/刚才/上面),1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,回指/依赖上文(这/那/他/你说/刚才/上面),9999,0,0.0,0.0,0.00038405086810531917,0.0
助手top1k,回指/依赖上文(这/那/他/你说/刚才/上面),950,23,0.024210526315789474,0.016185983208602046,0.036067556582491146,0.014735884767593344
助手random1k,回指/依赖上文(这/那/他/你说/刚才/上面),987,43,0.04356636271529889,0.03250306822363984,0.05816894231770199,
搜索top1000,明确年份(20xx年),1000,0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,明确年份(20xx年),9999,4,0.00040004000400040005,0.00015557587970720262,0.00102824772497729,8.635729951822538e-05
助手top1k,明确年份(20xx年),950,8,0.008421052631578947,0.004273086293304304,0.016528690437758797,0.0033367745741464494
助手random1k,明确年份(20xx年),987,49,0.04964539007092199,0.03775425179357291,0.06502867536653018,
