metric,surface,n,share,k,lo,hi,pv_share
len_median,search_top1000,1000,11.0,,,,
len_le4,search_top1000,1000,0.04,40.0,,,
len_median,search_top10k,9998,10.0,,,,
len_le4,search_top10k,9998,0.09891978395679135,989.0,,,
len_median,assistant_top1k,958,7.0,,,,
len_le4,assistant_top1k,958,0.22338204592901878,214.0,,,
len_median,assistant_random1k,998,13.0,,,,
len_le4,assistant_random1k,998,0.027054108216432865,27.0,,,
疑问句(sva_metrics),search_top1000,1000,0.373,373.0,0.3435655079201235,0.4034065243208197,0.33910139647844567
疑问句(sva_metrics),search_top10k,9998,0.40518103620724144,4051.0,0.39559610201956635,0.4148388082873515,0.37698062902809903
疑问句(sva_metrics),assistant_top1k,958,0.33820459290187893,324.0,0.30894487330647613,0.3687567357734388,0.3471755911797622
疑问句(sva_metrics),assistant_random1k,998,0.6472945891783567,646.0,0.6171365296940949,0.676323035171249,
模板:功效/作用/主治,search_top1000,1000,0.52,520.0,0.4890171561146857,0.5508297679418587,0.5550095971169478
模板:功效/作用/主治,search_top10k,9998,0.33796759351870376,3379.0,0.3287593312562837,0.3473003255973101,0.42280920469170397
模板:功效/作用/主治,assistant_top1k,958,0.20250521920668058,194.0,0.17826840683620443,0.22911842276234895,0.153670451897772
模板:功效/作用/主治,assistant_random1k,998,0.0531062124248497,53.0,0.04082842118625357,0.06881126636515177,
模板:症状/表现/前兆,search_top1000,1000,0.108,108.0,0.09024089880433964,0.12875938968739056,0.10838621540631059
模板:症状/表现/前兆,search_top10k,9998,0.0692138427685537,692.0,0.06440218847675494,0.07435641773832447,0.08379060403509274
模板:症状/表现/前兆,assistant_top1k,958,0.05741127348643006,55.0,0.04437150338650495,0.07398644661274648,0.04030831872333437
模板:症状/表现/前兆,assistant_random1k,998,0.02004008016032064,20.0,0.013009673489895731,0.030751336234595642,
模板:原因/怎么回事,search_top1000,1000,0.11,110.0,0.0920790698498625,0.13090591104752214,0.09130383688818379
模板:原因/怎么回事,search_top10k,9998,0.10472094418883776,1047.0,0.09887000602654863,0.11087552723604571,0.10071834012799291
模板:原因/怎么回事,assistant_top1k,958,0.04279749478079332,41.0,0.03170255734401699,0.05754457024954934,0.03310835844725313
模板:原因/怎么回事,assistant_random1k,998,0.08517034068136273,85.0,0.06940292459903528,0.10411911720877147,
