metric,k_search,n_search,p_search,k_head,n_head,p_head,diff,lo,hi
疑问句,373,1000,0.373,324,958,0.33820459290187893,-0.03479540709812107,-0.07699360507000369,0.007628910905171787
疑问句(去掉U02+U13),373,954,0.3909853249475891,272,640,0.425,0.0340146750524109,-0.015043926919069715,0.08321885184747688
≤4字,40,1000,0.04,214,958,0.22338204592901878,0.18338204592901877,0.1545134684964184,0.21276859223542924
模板功效/作用/主治,520,1000,0.52,194,958,0.20250521920668058,-0.31749478079331944,-0.35671081916068287,-0.2766511862071766
模板症状,108,1000,0.108,55,958,0.05741127348643006,-0.05058872651356994,-0.07510378034691566,-0.026296298898260118
模板原因,110,1000,0.11,41,958,0.04279749478079332,-0.06720250521920668,-0.09087009388921886,-0.0439939729018176
速效根治词,43,1000,0.043,21,958,0.021920668058455117,-0.02107933194154488,-0.03735067860730877,-0.0053221955712068544
隐私难言,46,1000,0.046,79,958,0.0824634655532359,0.0364634655532359,0.014808777462301203,0.058701967385776314
隐私难言(去掉就医/费用/选择/导流),46,1000,0.046,51,958,0.05323590814196242,0.00723590814196242,-0.01215611599438866,0.02691456383258122
就医机构/科室/医生,0,1000,0.0,64,958,0.06680584551148225,0.06680584551148225,0.05215322751576371,0.08441025145722761
费用/价格,1,1000,0.001,18,958,0.018789144050104383,0.017789144050104382,0.00949610509348849,0.02853632128390505
导流/咨询入口词,0,1000,0.0,21,958,0.021920668058455117,0.021920668058455117,0.013465755821838964,0.03327882685532142
无主语/指代追问,0,1000,0.0,82,958,0.08559498956158663,0.08559498956158663,0.06904369831186394,0.10500805835099815
给图/指代图中,0,1000,0.0,20,958,0.020876826722338204,0.020876826722338204,0.012614737924656958,0.032026427436186375
身体/姿态编辑,0,1000,0.0,47,958,0.049060542797494784,0.049060542797494784,0.036495872762139156,0.064630348909984
家人代问,1,1000,0.001,10,958,0.010438413361169102,0.009438413361169101,0.0027900487475466806,0.018146843841728752
判断请求,17,1000,0.017,32,958,0.033402922755741124,0.016402922755741123,0.002469637076674658,0.03120949084338847
第一人称,0,1000,0.0,4,958,0.0041753653444676405,0.0041753653444676405,-0.00042357613705780537,0.01068652902530479
服药时间/剂量,10,1000,0.01,11,958,0.011482254697286013,0.0014822546972860125,-0.00824620408385693,0.01153660279054135
p_ds=1,17,1000,0.017,41,958,0.04279749478079332,0.025797494780793316,0.01082336773330728,0.041857326894630814
