view,surface,code,name,n,k,share,lo,hi,pv_share
all,search_top1000,U01,导航直达,1000,25,0.025,0.016990011790561223,0.036645541866509784,0.014492507735765511
all,search_top1000,U02,裸实体,1000,541,0.541,0.5100158973406579,0.5716702969752581,0.7044618562061641
all,search_top1000,U03,事实与数值,1000,38,0.038,0.027808845539615407,0.05172720875420944,0.02064694871872687
all,search_top1000,U04,解释与介绍,1000,345,0.345,0.3161799875785417,0.3750063509832394,0.20197152397149387
all,search_top1000,U05,核实与动态,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.000936249263103965
all,search_top1000,U06,办事与操作,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U08,清单与推荐,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.0427730661303107
all,search_top1000,U09,获取现成内容,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.007101682452829693
all,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U12,违规或灰色内容,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.0032567996954680806
all,search_top1000,U13,无法判定,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.004359365826137222
all,search_top10k,U01,导航直达,9982,175,0.01753155680224404,0.015136335125128615,0.02029799421572534,0.015889661487659874
all,search_top10k,U02,裸实体,9982,5272,0.5281506712081747,0.5183484460984251,0.5379312369279909,0.6287346877321233
all,search_top10k,U03,事实与数值,9982,525,0.052594670406732116,0.048385137707640635,0.05714844095437219,0.03470566607546288
all,search_top10k,U04,解释与介绍,9982,3400,0.34061310358645563,0.33137889349194966,0.349969947451011,0.26174320584554345
all,search_top10k,U05,核实与动态,9982,87,0.008715688238829894,0.007071803706639928,0.010737571519179798,0.004696100444520497
all,search_top10k,U06,办事与操作,9982,6,0.0006010819475055099,0.00027550568304241115,0.0013109004141662606,0.00020875839754741642
all,search_top10k,U07,个案判断与建议,9982,0,0.0,0.0,0.00038470468027451986,0.0
all,search_top10k,U08,清单与推荐,9982,224,0.02244039270687237,0.019713278785474724,0.025534945460341473,0.03276980127999087
all,search_top10k,U09,获取现成内容,9982,130,0.013023442195952716,0.010979187065165291,0.015442381648682522,0.009531972665368125
all,search_top10k,U10,生成与编辑,9982,0,0.0,0.0,0.00038470468027451986,0.0
all,search_top10k,U11,会话与系统指令,9982,0,0.0,0.0,0.00038470468027451986,0.0
all,search_top10k,U12,违规或灰色内容,9982,67,0.006712081747144861,0.005289136738860348,0.008514567097178872,0.0050483561528743524
all,search_top10k,U13,无法判定,9982,96,0.009617311160088158,0.007882468933742035,0.011729458417478914,0.006671789918909246
all,search_1001plus,U01,导航直达,8982,150,0.016700066800267203,0.01424905096118903,0.01956432050977036,0.01751406857099992
all,search_1001plus,U02,裸实体,8982,4731,0.5267201068804275,0.5163852080275352,0.5370321591337109,0.5406901552647919
all,search_1001plus,U03,事实与数值,8982,487,0.05421955021153418,0.049724053574921906,0.05909620428495402,0.051051096938740076
all,search_1001plus,U04,解释与介绍,8982,3055,0.34012469383210864,0.33039730245859467,0.3499887840266156,0.33123702017178175
all,search_1001plus,U05,核实与动态,8982,85,0.00946337118681808,0.007660263772349057,0.01168590409243948,0.009067508303617196
all,search_1001plus,U06,办事与操作,8982,6,0.0006680026720106881,0.00030618226129719287,0.0014567689129144695,0.00045147228585280336
all,search_1001plus,U07,个案判断与建议,8982,0,0.0,0.0,0.0004275169951805071,0.0
all,search_1001plus,U08,清单与推荐,8982,201,0.02237808951235805,0.01951721716962937,0.02564734482309483,0.021139460483672677
all,search_1001plus,U09,获取现成内容,8982,120,0.013360053440213761,0.011185113622996023,0.015951086952807586,0.01235756049381344
all,search_1001plus,U10,生成与编辑,8982,0,0.0,0.0,0.0004275169951805071,0.0
all,search_1001plus,U11,会话与系统指令,8982,0,0.0,0.0,0.0004275169951805071,0.0
all,search_1001plus,U12,违规或灰色内容,8982,61,0.006791360498775328,0.005291027767338938,0.00871340338132498,0.007131317312781389
all,search_1001plus,U13,无法判定,8982,86,0.009574704965486529,0.00775998972453828,0.011808750503422118,0.009360340173948798
all,assistant_top1k,U01,导航直达,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.0009160849596259389
all,assistant_top1k,U02,裸实体,889,515,0.5793025871766029,0.5465773644936609,0.6113453846255557,0.600931007610552
all,assistant_top1k,U03,事实与数值,889,43,0.048368953880764905,0.03610564995050978,0.0645186937180648,0.039163668319212086
all,assistant_top1k,U04,解释与介绍,889,87,0.09786276715410573,0.08002628406838928,0.11915977536253326,0.11211056026263866
all,assistant_top1k,U05,核实与动态,889,98,0.11023622047244094,0.09130169322803146,0.1325247951434781,0.08623634162922186
all,assistant_top1k,U06,办事与操作,889,0,0.0,0.0,0.004302666900825409,0.0
all,assistant_top1k,U07,个案判断与建议,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.0013927807530964501
all,assistant_top1k,U08,清单与推荐,889,20,0.02249718785151856,0.014609825128403225,0.03449362166439854,0.01764603472003449
all,assistant_top1k,U09,获取现成内容,889,19,0.021372328458942633,0.013724300504896904,0.03313910729330605,0.019034670292318152
all,assistant_top1k,U10,生成与编辑,889,0,0.0,0.0,0.004302666900825409,0.0
all,assistant_top1k,U11,会话与系统指令,889,4,0.0044994375703037125,0.0017510644786957429,0.011511758400524937,0.003767969358823432
