metric,surface,n,k,share,lo,hi,pv_share
M01 纯2–4个汉字(裸名形态),搜索top1000,1000,518,0.518,0.48702012301568326,0.5488421086352068,0.6843437282172098
M01 纯2–4个汉字(裸名形态),搜索top10k,9982,4955,0.4963935083149669,0.486588205776348,0.5062015857220471,0.6026233158335986
M01 纯2–4个汉字(裸名形态),助手top1k,889,522,0.5871766029246345,0.5545043256694973,0.6190986964119112,0.6218061381837475
M01 纯2–4个汉字(裸名形态),助手random1k,950,63,0.06631578947368422,0.05217454045360285,0.08395036749757062,
M02 百科资料后缀,搜索top1000,1000,342,0.342,0.313252383422238,0.3719569165310615,0.19693040236494938
M02 百科资料后缀,搜索top10k,9982,3316,0.3321979563213785,0.32302411213475735,0.34150090897112517,0.2549033814749468
M02 百科资料后缀,助手top1k,889,39,0.043869516310461196,0.032255386010070254,0.05940880168010906,0.045352423272703155
M02 百科资料后缀,助手random1k,950,39,0.04105263157894737,0.03017435495910405,0.055627732096021246,
M03 粉丝打榜(送花/影响力),搜索top1000,1000,55,0.055,0.04249722594783333,0.07090871379405425,0.026737109188218363
M03 粉丝打榜(送花/影响力),搜索top10k,9982,392,0.03927068723702665,0.03563404334593146,0.043261820574040995,0.03228342633038194
M03 粉丝打榜(送花/影响力),助手top1k,889,2,0.0022497187851518562,0.0006171580704449633,0.00816558681957808,0.0021347681185853325
M03 粉丝打榜(送花/影响力),助手random1k,950,3,0.003157894736842105,0.001074518361442939,0.009243337349610133,
M04 问句形式,搜索top1000,1000,11,0.011,0.006153110089114165,0.01958959672837577,0.006815646115939584
M04 问句形式,搜索top10k,9982,220,0.022039671408535362,0.01933811519871124,0.02510897476914885,0.013658194801260721
M04 问句形式,助手top1k,889,169,0.19010123734533182,0.16566199979512358,0.21720725719290201,0.1994702458921258
M04 问句形式,助手random1k,950,572,0.6021052631578947,0.5706286800079606,0.6327593877802339,
M05 指代/识图(不给名字),搜索top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
M05 指代/识图(不给名字),搜索top10k,9982,0,0.0,0.0,0.00038470468027451986,0.0
M05 指代/识图(不给名字),助手top1k,889,33,0.03712035995500562,0.026551947147242204,0.05167200657534419,0.06160153205882841
