surface,change,k,n_wrapped,share
助手top1k,关系/加第二人,49,223,0.21973094170403587
助手top1k,原因/评价/影响,32,223,0.14349775784753363
助手top1k,近况/时效/结局,6,223,0.026905829596412557
助手top1k,判断/比较/核实,4,223,0.017937219730941704
助手top1k,具体属性/数值,3,223,0.013452914798206279
助手top1k,职务任免,3,223,0.013452914798206279
助手top1k,财富/私生活,18,223,0.08071748878923767
助手top1k,清单/作品/奖项,11,223,0.04932735426008968
助手top1k,生死健康,7,223,0.03139013452914798
助手top1k,查处司法,1,223,0.004484304932735426
助手top1k,资料/简介(与搜索同类),31,223,0.13901345291479822
助手random1k,关系/加第二人,30,174,0.1724137931034483
助手random1k,原因/评价/影响,35,174,0.20114942528735633
助手random1k,近况/时效/结局,17,174,0.09770114942528736
助手random1k,判断/比较/核实,29,174,0.16666666666666666
助手random1k,具体属性/数值,13,174,0.07471264367816093
助手random1k,职务任免,7,174,0.040229885057471264
助手random1k,财富/私生活,9,174,0.05172413793103448
助手random1k,清单/作品/奖项,10,174,0.05747126436781609
助手random1k,生死健康,4,174,0.022988505747126436
助手random1k,查处司法,5,174,0.028735632183908046
助手random1k,资料/简介(与搜索同类),8,174,0.04597701149425287
