view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,金融,search_top1000,U01,导航直达,1000,60,0.06,0.046896260125365796,0.07647141063065788,0.049545819852950826
all,金融,search_top1000,U02,裸实体,1000,514,0.514,0.48302753849609636,0.5448653083434848,0.43245394057767717
all,金融,search_top1000,U03,事实与数值,1000,401,0.401,0.3710579007277139,0.43169982519239153,0.5067461436446349
all,金融,search_top1000,U04,解释与介绍,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.0007358399510803211
all,金融,search_top1000,U05,核实与动态,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00025863544656822403
all,金融,search_top1000,U06,办事与操作,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.0008297887244063854
all,金融,search_top1000,U07,个案判断与建议,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0004769281845905498
all,金融,search_top1000,U08,清单与推荐,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.0014868774978457407
all,金融,search_top1000,U09,获取现成内容,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.005800922273002148
all,金融,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,金融,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,金融,search_top1000,U12,违规或灰色内容,1000,0,0.0,0.0,0.003826898586390522,0.0
all,金融,search_top1000,U13,无法判定,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.0016651038472437157
all,金融,search_top10k,U01,导航直达,9999,1721,0.17211721172117211,0.16484446186500723,0.17964180891628756,0.08786345892278767
all,金融,search_top10k,U02,裸实体,9999,3997,0.39973997399739974,0.3901788074755949,0.4093781504192496,0.4211340815001832
all,金融,search_top10k,U03,事实与数值,9999,3596,0.35963596359635963,0.35028513614980866,0.3690946049029737,0.462312839366521
all,金融,search_top10k,U04,解释与介绍,9999,125,0.0125012501250125,0.010503034222765531,0.01487391466343896,0.004717256014703317
all,金融,search_top10k,U05,核实与动态,9999,148,0.014801480148014802,0.012613983470139074,0.01736165865139567,0.00456216160855475
all,金融,search_top10k,U06,办事与操作,9999,109,0.010901090109010901,0.009045349182778451,0.013132508757109347,0.0035365195475391426
all,金融,search_top10k,U07,个案判断与建议,9999,32,0.0032003200320032004,0.00226792651863094,0.004514306242107769,0.0010736387322675014
all,金融,search_top10k,U08,清单与推荐,9999,121,0.0121012101210121,0.010137692769455807,0.014439483380169512,0.0051714348407561304
all,金融,search_top10k,U09,获取现成内容,9999,67,0.0067006700670067,0.0052801386439722525,0.008500105561834224,0.00600564084779191
all,金融,search_top10k,U10,生成与编辑,9999,0,0.0,0.0,0.00038405086810531917,0.0
all,金融,search_top10k,U11,会话与系统指令,9999,0,0.0,0.0,0.00038405086810531917,0.0
all,金融,search_top10k,U12,违规或灰色内容,9999,3,0.00030003000300030005,0.00010204055744611853,0.0008818398630935808,5.790802975132861e-05
all,金融,search_top10k,U13,无法判定,9999,80,0.008000800080008,0.006433668185012177,0.009945837414676615,0.003565060589143997
all,金融,assistant_top1k,U01,导航直达,950,52,0.05473684210526316,0.041983600665608425,0.07107668104154295,0.0865287712312268
all,金融,assistant_top1k,U02,裸实体,950,268,0.28210526315789475,0.2544096368465626,0.3115560329250221,0.2635929012118084
all,金融,assistant_top1k,U03,事实与数值,950,315,0.33157894736842103,0.30237259970993957,0.3621419276497394,0.38430056780473415
all,金融,assistant_top1k,U04,解释与介绍,950,34,0.035789473684210524,0.025722631233919012,0.04959553480119625,0.04782710222943244
all,金融,assistant_top1k,U05,核实与动态,950,50,0.05263157894736842,0.040148268903027584,0.06871844439611977,0.05147727552048767
all,金融,assistant_top1k,U06,办事与操作,950,35,0.03684210526315789,0.026608111340136204,0.05080683889898106,0.03090971658923875
all,金融,assistant_top1k,U07,个案判断与建议,950,77,0.08105263157894736,0.06533799100419703,0.10014189580300449,0.054537521815008726
all,金融,assistant_top1k,U08,清单与推荐,950,37,0.03894736842105263,0.028386554969322863,0.05322196367779841,0.024967431113733007
all,金融,assistant_top1k,U09,获取现成内容,950,37,0.03894736842105263,0.028386554969322863,0.05322196367779841,0.02032175601602635
all,金融,assistant_top1k,U10,生成与编辑,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,0.0009340510778457833
all,金融,assistant_top1k,U11,会话与系统指令,950,0,0.0,0.0,0.0040275030990470535,0.0
all,金融,assistant_top1k,U12,违规或灰色内容,950,0,0.0,0.0,0.0040275030990470535,0.0
all,金融,assistant_top1k,U13,无法判定,950,44,0.04631578947368421,0.034680608598917806,0.06160539947621753,0.03460290539045793
all,金融,assistant_random1k,U01,导航直达,987,8,0.008105369807497468,0.00411268319239232,0.015912313739508802,
all,金融,assistant_random1k,U02,裸实体,987,23,0.02330293819655522,0.015577299553705456,0.03472498892509883,
